Word Error Probability
Lambda by the maximum likelihood decoding rule
110 | C3 - 81.000000
111 | C1 - 0.001372
111 | C1 - 0.012346
111 | C3 - 0.111111
111 | C3 - 1.000000
111 | C4 - 9.000000
111 | C3 - 81.000000
111 | C4 - 729.000000
C1   [000]
C2   [001 101]
C3   [010 100 110]
C4   [011 111]
e: 0.4 - 0.020487

Lambda by the maximum likelihood decoding rule
000 | C4 - 0.001372
000 | C3 - 0.012346
000 | C4 - 0.111111
000 | C3 - 1.000000
000 | C3 - 9.000000
000 | C1 - 81.000000
000 | C1 - 729.000000
001 | C3 - 0.012346
001 | C3 - 0.111111
001 | C4 - 0.111111
001 | C2 - 1.000000
001 | C2 - 9.000000
001 | C4 - 9.000000
001 | C2 - 81.000000
010 | C2 - 0.012346
010 | C2 - 0.111111
010 | C4 - 0.111111
010 | C3 - 1.000000
010 | C3 - 9.000000
010 | C4 - 9.000000
010 | C3 - 81.000000
011 | C3 - 0.111111
011 | C3 - 1.000000
011 | C4 - 9.000000
100 | C4 - 0.111111
100 | C3 - 1.000000
100 | C3 - 9.000000
101 | C3 - 0.012346
101 | C4 - 0.111111
101 | C3 - 1.000000
101 | C4 - 9.000000
101 | C2 - 9.000000
101 | C2 - 81.000000
110 | C2 - 0.012346
110 | C4 - 0.111111
110 | C2 - 1.000000
110 | C4 - 9.000000
110 | C3 - 9.000000
110 | C3 - 81.000000
111 | C1 - 0.001372
111 | C1 - 0.012346
111 | C3 - 0.111111
111 | C3 - 1.000000
111 | C4 - 9.000000
111 | C3 - 81.000000
111 | C4 - 729.000000
C1   [000]
C2   [001 101]
C3   [010 100 110]
C4   [011 111]
e: 0.5 - 0.029663
